Beat1, 	 Beat2, 	 Correlation 
"('0932', '1712')",0.9990217951872251
"('0112', '1833')",0.998368287979405
"('2012', '2022')",0.9977500996044633
"('0222', '2424')",0.9971178756977082
"('0323', '1633')",0.9969888556541437
"('0432', '0913')",0.9967070577227052
"('1134', '1624')",0.9966563036077083
"('0522', '0726')",0.9965015043173592
"('0232', '1653')",0.9964135922410456
"('0123', '1232')",0.9963289779881659
"('0214', '1434')",0.9963015026442583
"('1231', '1922')",0.9960817471423913
"('0114', '1822')",0.9958957346998863
"('1125', '1511')",0.9957097166358224
"('0822', '1631')",0.995385601254976
"('0824', '2521')",0.9951930141604243
"('1131', '1814')",0.9949566862077539
"('1931', '1933')",0.9948464265363841
"('1814', '1912')",0.9948109345910093
"('1931', '1932')",0.9946863382511107
"('1221', '2524')",0.9945040913975522
"('0935', '1731')",0.9941347261933625
"('0412', '0934')",0.9940792085735701
"('0122', '1833')",0.9937105209346576
"('0822', '1221')",0.9936975391923185
"('0911', '2511')",0.9931483735160983
"('0923', '1523')",0.9930020436437825
"('1532', '2531')",0.9929737782700141
"('1131', '1912')",0.9929563783115817
"('1221', '1631')",0.9925733888692507
"('1713', '1914')",0.9923106875442249
"('0422', '2525')",0.992245225662237
"('0221', '0835')",0.9922049553734977
"('1224', '1433')",0.9921682344813488
"('1132', '1232')",0.9921316066779101
"('0114', '1024')",0.9918408128067174
"('1225', '1631')",0.9916539319708316
"('0932', '2212')",0.9915957710259213
"('0433', '1654')",0.9914908419304392
"('1833', '1935')",0.9912592276182822
"('0123', '2433')",0.9911659333263768
"('1414', '1811')",0.991071733155927
"('1421', '2535')",0.9909731630711721
"('1932', '1933')",0.9909057698667867
"('0623', '1821')",0.9908249432959229
"('0924', '1622')",0.9906544364900266
"('0623', '1022')",0.9906288109659311
"('0833', '0922')",0.9905843453429385
"('1652', '2213')",0.9904230277424687
"('0122', '1935')",0.9899863037197799
"('0112', '1011')",0.9898639759675628
"('1831', '1834')",0.9898175817683263
"('0732', '1533')",0.9897808678690577
"('0422', '2212')",0.9894866454390372
"('1652', '2232')",0.9893496918624712
"('0414', '0921')",0.9891858716786768
"('0712', '0725')",0.989137391514724
"('0811', '1632')",0.9890139127665917
"('1631', '1722')",0.9889785005159175
"('0112', '1935')",0.9888032386991812
"('1622', '1914')",0.9885173085125332
"('0225', '1234')",0.988268849217255
"('1211', '1823')",0.9881375136162948
"('0822', '1722')",0.988118967356577
"('0323', '1733')",0.9881085326470732
"('1921', '2514')",0.9875297130434216
"('1423', '2031')",0.9875058335504017
"('0124', '1934')",0.9874760306578241
"('0112', '0122')",0.9874416066408479
"('1812', '1935')",0.9873741915646044
"('0834', '1923')",0.9872468486903401
"('1712', '2212')",0.9870231701551226
"('0915', '0922')",0.9869018031225659
"('2513', '2523')",0.9866325576992809
"('0321', '2534')",0.9865647929076631
"('0822', '2524')",0.9865196687132216
"('0111', '1832')",0.9863677513466648
"('1234', '2514')",0.9863502634101091
"('1413', '1632')",0.9857981330047547
"('1215', '1432')",0.9857855345728836
"('0522', '1633')",0.9857771561792783
"('0211', '1022')",0.9856436773454814
"('0112', '1812')",0.9851723079127269
"('1831', '1833')",0.9851021501364798
"('0522', '1624')",0.9848862874720575
"('0332', '2023')",0.9846591024242406
"('1631', '2535')",0.9846326157615879
"('0533', '1832')",0.9845145276342236
"('0312', '0424')",0.9841282435076111
"('0432', '1722')",0.9840943459210871
"('0915', '0934')",0.9840258033219191
"('0122', '1831')",0.9838969448640729
"('1011', '1833')",0.9838736220041908
"('1125', '1914')",0.9838610760469324
"('1221', '1523')",0.9838055804091347
"('1014', '1923')",0.9835386829705677
"('0421', '0825')",0.9833403425024365
"('1513', '1611')",0.9832633259965279
"('0732', '0823')",0.9832106709797249
"('0913', '0932')",0.9830563208715832
"('0511', '1812')",0.9827449184895911
"('0111', '1834')",0.9826659746105846
"('1232', '2433')",0.9825029082628667
"('0122', '1934')",0.9821879881036164
"('0221', '0632')",0.9821379778897301
"('0933', '0934')",0.9821219681234293
"('0511', '1935')",0.9819455319633633
"('0915', '0933')",0.9818530071881884
"('0725', '0821')",0.9817481222119125
"('1022', '1821')",0.9815953437107876
"('0913', '2212')",0.9815685206367257
"('0735', '0825')",0.9812650485805369
"('1024', '1822')",0.981155155022548
"('0422', '0913')",0.9809355756031989
"('0814', '1433')",0.9809338481966284
"('1121', '1912')",0.9809052263093857
"('1912', '2233')",0.9808609815922407
"('0723', '0733')",0.9808602660103408
"('0522', '1134')",0.9808285038188251
"('0613', '1651')",0.9807484869726573
"('0123', '1132')",0.9806892084600124
"('1925', '2221')",0.9806667367576158
"('0235', '1932')",0.9805482872693403
"('0823', '1113')",0.9802132149038304
"('0833', '0915')",0.9799779786270976
"('0422', '0932')",0.9799759703365933
"('1524', '2431')",0.9799512493773057
"('1631', '2524')",0.9797132490146475
"('0822', '1225')",0.9795291183772326
"('0834', '1014')",0.9794936527281307
"('0112', '1024')",0.9794684399260735
"('1221', '1225')",0.9794508527712787
"('1812', '1833')",0.9794197527276841
"('0723', '0921')",0.9792892921078304
"('0726', '1624')",0.9791749303386472
"('0235', '1933')",0.979041265907067
"('0432', '2525')",0.9790258887058962
"('0234', '0511')",0.9789295448776631
"('0712', '0821')",0.9788719430997533
"('1121', '2032')",0.9788684580955253
"('1623', '2211')",0.9788344229356271
"('0433', '0835')",0.9788003422333416
"('1024', '1833')",0.9786250129998143
"('0633', '1621')",0.9785526492587012
"('0732', '2222')",0.9785501222879288
"('0431', '1115')",0.9785494217163192
"('0232', '0725')",0.9784691707028464
"('0121', '0212')",0.9784461578121881
"('0632', '0835')",0.9784064171090638
"('1412', '2032')",0.9783197126877774
"('1225', '2535')",0.9783042161602445
"('0523', '1915')",0.9780927706169769
"('0621', '1011')",0.9779522253871075
"('1512', '1923')",0.9777346825253028
"('0723', '1533')",0.9776816954326212
"('1633', '1733')",0.9776487163693585
"('0813', '1135')",0.9775595668527566
"('0511', '2011')",0.977509677227339
"('1533', '2222')",0.977500567699512
"('0835', '1654')",0.9774197816145439
"('0913', '1712')",0.9773302713612932
"('0632', '1213')",0.9772011245168095
"('0912', '2514')",0.9771665587884696
"('0233', '1411')",0.9770853185681575
"('0733', '2515')",0.9766992051171118
"('0726', '1134')",0.9765293250104411
"('0114', '1011')",0.9765096348725187
"('0913', '2525')",0.976442562651185
"('1125', '1622')",0.9762344478498175
"('0321', '0912')",0.9761571097725965
"('0531', '1824')",0.9759694878973262
"('0234', '2011')",0.975833816536
"('0314', '0614')",0.9757744333897772
"('0122', '1011')",0.9757591109665409
"('0333', '0722')",0.9755859177466145
"('0632', '1235')",0.9754917549034384
"('1014', '1614')",0.975408866441755
"('0112', '1831')",0.975406558632145
"('0211', '1811')",0.9754003974485387
"('1814', '2032')",0.9753353030644022
"('1011', '1935')",0.9753180436951883
"('0313', '2432')",0.9752585126289897
"('0834', '1215')",0.9752022597690686
"('1421', '1631')",0.9751428098157611
"('0922', '0934')",0.9751118574315599
"('0532', '1024')",0.9751046444003069
"('1613', '1651')",0.9750860425268849
"('1011', '1812')",0.974967673942069
"('0834', '1614')",0.97476421865252
"('0724', '2515')",0.9747563811871262
"('0713', '1413')",0.9746993278298703
"('0811', '1225')",0.9745545857177511
"('0333', '0731')",0.9745432846111175
"('0112', '0114')",0.9744615619623038
"('1024', '1831')",0.974304582788123
"('1421', '1722')",0.9742370601228342
"('0832', '2523')",0.9742232726450539
"('1125', '1713')",0.974013539485779
"('0323', '1712')",0.9740133978917853
"('2532', '2534')",0.9739436502937201
"('0523', '2012')",0.9739357506447439
"('0432', '1731')",0.973878166704347
"('1234', '2535')",0.9738504389834346
"('1122', '2024')",0.9738140500672197
"('0811', '1722')",0.9737892864416554
"('0422', '0432')",0.9735099439511985
"('1221', '2535')",0.9734056329256963
"('1611', '2512')",0.9734018881443237
"('0323', '0522')",0.973392193044874
"('0923', '0933')",0.9732830098017647
"('0732', '0921')",0.9732808460701555
"('1724', '2424')",0.9732686893532978
"('1523', '2524')",0.9730028261654993
"('0924', '1914')",0.9729257593323756
"('0911', '1632')",0.9727354011027343
"('0922', '1522')",0.9723166109287076
"('0222', '2411')",0.9722093585736513
"('1225', '1421')",0.9720461271892586
"('0613', '1115')",0.9720336010174214
"('0235', '1931')",0.9718590365441547
"('0912', '2534')",0.9718579763427208
"('0511', '1011')",0.9717299111275737
"('0133', '2232')",0.9716299958888153
"('0432', '0932')",0.9715918713352437
"('1834', '2433')",0.9715413009199805
"('0131', '0713')",0.9713079764816396
"('1225', '1722')",0.9710973279687889
"('1234', '1823')",0.9710742938286873
"('1623', '1733')",0.9710050027750337
"('1034', '1611')",0.9708206038528294
"('1624', '1633')",0.9707992122738944
"('0811', '2525')",0.970755424049188
"('0913', '1722')",0.9707057674972235
"('1111', '2531')",0.9706952435121974
"('1732', '1921')",0.970632609797003
"('0523', '2022')",0.9705644728086442
"('1221', '1722')",0.970495041381046
"('0431', '2222')",0.9704086741390104
"('1034', '2512')",0.9703990105324801
"('1832', '1834')",0.9703797347584044
"('0533', '1934')",0.970368808512356
"('1633', '1712')",0.9703455712141233
"('0422', '1712')",0.9703014268859103
"('1121', '1814')",0.9701489237391185
"('0232', '1111')",0.9701224600210869
"('1614', '2512')",0.9701098908641289
"('1111', '1653')",0.9698352197488411
"('0114', '1833')",0.9698314853837706
"('2411', '2424')",0.9696471710065988
"('0331', '1122')",0.9696424160469533
"('0712', '1133')",0.9692496157159824
"('1513', '1614')",0.9692217667930794
"('0912', '0913')",0.9688758420944303
"('1722', '2535')",0.9688474634744157
"('1235', '1424')",0.9687630041967535
"('1632', '2525')",0.9687290503328078
"('1532', '2522')",0.9687044971691174
"('1831', '1935')",0.9685931535760096
"('0726', '1633')",0.9685154205417847
"('0924', '1134')",0.9683211152302331
"('1722', '1731')",0.9681276430535557
"('0432', '0822')",0.9680069644142595
"('1934', '2433')",0.9679074282155121
